#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-1a.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-1a.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-1a.txt
#   Number of Unique Pairs:       41
#   Number of MaxDiff Questions:  103
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"wheat:bread" "currency:dollar" "fruit:grape" "bush:azalea" "currency:dollar" "fruit:grape"
"bird:robin" "rodent:mouse" "politician:senator" "furniture:couch" "rodent:mouse" "bird:robin"
"dollar:currency" "clothing:shirt" "hair:brown" "bush:azalea" "clothing:shirt" "hair:brown"
"currency:dollar" "animal:pig" "dollar:currency" "bird:swan" "currency:dollar" "bird:swan"
"bird:robin" "dog:chihuahua" "song:opera" "school:university" "school:university" "bird:robin"
"mammal:porpoise" "bush:astilbe" "tree:oak" "insect:ant" "mammal:porpoise" "tree:oak"
"animal:carabao" "footwear:boot" "politician:senator" "automobile:van" "politician:senator" "animal:carabao"
"fruit:grape" "furniture:couch" "appliance:refrigerator" "pet:dog" "pet:dog" "fruit:grape"
"oak:tree" "weapon:spear" "pen:ballpoint" "furniture:chair" "oak:tree" "weapon:spear"
"bread:wheat" "car:mustang" "couch:furniture" "rodent:mouse" "rodent:mouse" "bread:wheat"
"jewelry:ring" "tree:ash" "clothing:shirt" "art:abstract" "jewelry:ring" "tree:ash"
"color:red" "vegetable:carrot" "hair:brown" "weather:rain" "vegetable:carrot" "color:red"
"wheat:bread" "sweater:knit" "dog:pet" "dog:poodle" "wheat:bread" "dog:pet"
"bird:swan" "sweater:knit" "appliance:refrigerator" "fruit:grape" "appliance:refrigerator" "bird:swan"
"bird:robin" "dog:poodle" "pen:ballpoint" "insect:ant" "pen:ballpoint" "bird:robin"
"bread:wheat" "vegetable:carrot" "song:opera" "tree:oak" "vegetable:carrot" "tree:oak"
"currency:dollar" "hair:brown" "oak:tree" "wheat:bread" "oak:tree" "hair:brown"
"jewelry:ring" "automobile:van" "tree:ash" "weapon:spear" "jewelry:ring" "tree:ash"
"mammal:porpoise" "color:red" "rodent:mouse" "dollar:currency" "rodent:mouse" "color:red"
"weather:rain" "animal:carabao" "footwear:boot" "clothing:shirt" "clothing:shirt" "animal:carabao"
"dog:pet" "furniture:couch" "car:mustang" "bush:azalea" "furniture:couch" "dog:pet"
"politician:senator" "dog:chihuahua" "art:abstract" "bush:astilbe" "politician:senator" "dog:chihuahua"
"school:university" "furniture:chair" "couch:furniture" "pet:dog" "pet:dog" "school:university"
"animal:pig" "jewelry:ring" "couch:furniture" "animal:carabao" "jewelry:ring" "animal:pig"
"pet:dog" "school:university" "fruit:grape" "rodent:mouse" "pet:dog" "fruit:grape"
"dog:poodle" "color:red" "bush:astilbe" "insect:ant" "bush:astilbe" "color:red"
"animal:pig" "footwear:boot" "wheat:bread" "bush:azalea" "wheat:bread" "animal:pig"
"weapon:spear" "hair:brown" "dog:chihuahua" "vegetable:carrot" "vegetable:carrot" "dog:chihuahua"
"mammal:porpoise" "sweater:knit" "weather:rain" "tree:ash" "mammal:porpoise" "tree:ash"
"bird:swan" "bread:wheat" "tree:oak" "clothing:shirt" "clothing:shirt" "bird:swan"
"politician:senator" "dog:pet" "song:opera" "appliance:refrigerator" "appliance:refrigerator" "dog:pet"
"art:abstract" "pen:ballpoint" "bird:robin" "dollar:currency" "pen:ballpoint" "bird:robin"
"car:mustang" "automobile:van" "currency:dollar" "oak:tree" "oak:tree" "car:mustang"
"furniture:chair" "furniture:couch" "mammal:porpoise" "bread:wheat" "furniture:chair" "bread:wheat"
