#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-4c.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-4c.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-4c.txt
#   Number of Unique Pairs:       43
#   Number of MaxDiff Questions:  108
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"abandon:embrace" "force:agree" "shout:whisper" "charm:repulse" "abandon:embrace" "force:agree"
"fight:reconcile" "despair:joy" "go:stay" "working:relaxing" "despair:joy" "working:relaxing"
"walk:sit" "decorate:trash" "sleep:wake" "swim:drown" "decorate:trash" "sleep:wake"
"verbose:silent" "white:black" "attract:repel" "joy:despair" "attract:repel" "joy:despair"
"offend:appease" "criticize:praise" "agree:argue" "agree:force" "offend:appease" "agree:argue"
"hope:fear" "injure:heal" "repair:break" "dirty:clean" "repair:break" "dirty:clean"
"poop:eat" "birth:death" "progress:regress" "praise:criticize" "birth:death" "progress:regress"
"beautify:desecrate" "fail:succeed" "lie:confess" "eat:starve" "fail:succeed" "lie:confess"
"fill:empty" "hurt:protect" "eat:fast" "go:stop" "eat:fast" "hurt:protect"
"lower:raise" "freeze:thaw" "eat:poop" "entreat:demand" "freeze:thaw" "lower:raise"
"break:repair" "peace:war" "eat:poop" "attract:repel" "eat:poop" "break:repair"
