#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-3a.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-3a.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-3a.txt
#   Number of Unique Pairs:       43
#   Number of MaxDiff Questions:  108
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"house:home" "kid:child" "bathroom:lavatory" "clean:tidy" "house:home" "kid:child"
"cellphone:mobile" "candy:sweets" "old:mature" "couch:sofa" "cellphone:mobile" "candy:sweets"
"stick:attach" "bathroom:restroom" "abode:house" "sofa:chair" "sofa:chair" "bathroom:restroom"
"sleep:doze" "music:tunes" "ugly:hideous" "room:chamber" "music:tunes" "sleep:doze"
"careful:cautious" "option:choice" "beautiful:pretty" "house:abode" "beautiful:pretty" "option:choice"
"cute:adorable" "urban:city" "restroom:bathroom" "raise:elevate" "cute:adorable" "raise:elevate"
"flammable:inflammable" "make:manufacture" "seat:chair" "large:big" "seat:chair" "make:manufacture"
"big:large" "dress:frock" "spectacles:glasses" "sweets:candy" "sweets:candy" "dress:frock"
"pretty:beautiful" "spin:twirl" "house:dwelling" "pants:trousers" "house:dwelling" "spin:twirl"
"glass:cup" "dream:fantasize" "organization:club" "boat:ship" "organization:club" "dream:fantasize"
"tedious:monotonous" "big:large" "cellphone:mobile" "abode:house" "cellphone:mobile" "abode:house"
"cute:adorable" "seat:chair" "music:tunes" "dream:fantasize" "music:tunes" "dream:fantasize"
"urban:city" "large:big" "pants:trousers" "house:home" "large:big" "urban:city"
"house:dwelling" "ugly:hideous" "spectacles:glasses" "raise:elevate" "ugly:hideous" "raise:elevate"
"house:abode" "boat:ship" "make:manufacture" "teach:instruct" "house:abode" "make:manufacture"
"couch:sofa" "option:choice" "old:mature" "beautiful:pretty" "beautiful:pretty" "option:choice"
"pretty:beautiful" "flammable:inflammable" "kid:child" "candy:sweets" "flammable:inflammable" "candy:sweets"
"run:sprint" "room:chamber" "spin:twirl" "tedious:monotonous" "tedious:monotonous" "run:sprint"
"organization:club" "bathroom:restroom" "sofa:chair" "sweets:candy" "sweets:candy" "bathroom:restroom"
"clean:tidy" "careful:cautious" "dress:frock" "glass:cup" "glass:cup" "dress:frock"
"bathroom:lavatory" "restroom:bathroom" "sleep:doze" "stick:attach" "restroom:bathroom" "sleep:doze"
"glass:cup" "house:abode" "boat:ship" "dream:fantasize" "house:abode" "dream:fantasize"
"teach:instruct" "couch:sofa" "sleep:doze" "flammable:inflammable" "couch:sofa" "sleep:doze"
"house:dwelling" "pretty:beautiful" "organization:club" "option:choice" "organization:club" "option:choice"
"ugly:hideous" "sweets:candy" "spectacles:glasses" "bathroom:restroom" "ugly:hideous" "bathroom:restroom"
"urban:city" "candy:sweets" "make:manufacture" "tedious:monotonous" "tedious:monotonous" "make:manufacture"
"beautiful:pretty" "large:big" "cellphone:mobile" "raise:elevate" "cellphone:mobile" "raise:elevate"
"bathroom:lavatory" "room:chamber" "clean:tidy" "cute:adorable" "cute:adorable" "clean:tidy"
"music:tunes" "big:large" "house:home" "run:sprint" "music:tunes" "run:sprint"
"old:mature" "spin:twirl" "stick:attach" "dress:frock" "old:mature" "spin:twirl"
"abode:house" "kid:child" "sofa:chair" "pants:trousers" "sofa:chair" "kid:child"
"restroom:bathroom" "careful:cautious" "seat:chair" "beautiful:pretty" "restroom:bathroom" "careful:cautious"
"kid:child" "dream:fantasize" "stick:attach" "spectacles:glasses" "spectacles:glasses" "dream:fantasize"
"sweets:candy" "house:abode" "tedious:monotonous" "old:mature" "sweets:candy" "tedious:monotonous"
"boat:ship" "cellphone:mobile" "flammable:inflammable" "seat:chair" "cellphone:mobile" "flammable:inflammable"
"make:manufacture" "large:big" "candy:sweets" "clean:tidy" "large:big" "make:manufacture"
"bathroom:lavatory" "big:large" "glass:cup" "careful:cautious" "glass:cup" "bathroom:lavatory"
"pants:trousers" "spin:twirl" "sleep:doze" "music:tunes" "music:tunes" "spin:twirl"
"room:chamber" "house:dwelling" "urban:city" "house:home" "house:dwelling" "urban:city"
"teach:instruct" "dress:frock" "restroom:bathroom" "abode:house" "restroom:bathroom" "dress:frock"
"pretty:beautiful" "sofa:chair" "organization:club" "cute:adorable" "cute:adorable" "pretty:beautiful"
"raise:elevate" "ugly:hideous" "option:choice" "couch:sofa" "ugly:hideous" "raise:elevate"
"run:sprint" "bathroom:restroom" "spectacles:glasses" "tedious:monotonous" "spectacles:glasses" "run:sprint"
"sleep:doze" "ugly:hideous" "couch:sofa" "boat:ship" "ugly:hideous" "sleep:doze"
"sofa:chair" "house:dwelling" "run:sprint" "house:home" "sofa:chair" "run:sprint"
"spin:twirl" "old:mature" "make:manufacture" "pretty:beautiful" "old:mature" "make:manufacture"
"cute:adorable" "sweets:candy" "large:big" "clean:tidy" "sweets:candy" "clean:tidy"
"music:tunes" "pants:trousers" "bathroom:lavatory" "room:chamber" "music:tunes" "bathroom:lavatory"
"beautiful:pretty" "candy:sweets" "stick:attach" "teach:instruct" "beautiful:pretty" "candy:sweets"
"glass:cup" "cellphone:mobile" "house:abode" "careful:cautious" "cellphone:mobile" "careful:cautious"
"bathroom:restroom" "kid:child" "raise:elevate" "option:choice" "kid:child" "raise:elevate"
"big:large" "urban:city" "seat:chair" "restroom:bathroom" "restroom:bathroom" "urban:city"
"dress:frock" "organization:club" "dream:fantasize" "abode:house" "organization:club" "dress:frock"
"flammable:inflammable" "stick:attach" "sofa:chair" "house:dwelling" "sofa:chair" "stick:attach"
"large:big" "sleep:doze" "cellphone:mobile" "organization:club" "cellphone:mobile" "sleep:doze"
"teach:instruct" "bathroom:restroom" "pretty:beautiful" "dream:fantasize" "teach:instruct" "dream:fantasize"
"big:large" "flammable:inflammable" "careful:cautious" "old:mature" "old:mature" "flammable:inflammable"
"clean:tidy" "raise:elevate" "run:sprint" "ugly:hideous" "ugly:hideous" "run:sprint"
"pants:trousers" "house:abode" "restroom:bathroom" "dress:frock" "restroom:bathroom" "dress:frock"
"spectacles:glasses" "couch:sofa" "spin:twirl" "glass:cup" "spectacles:glasses" "spin:twirl"
"cute:adorable" "sweets:candy" "house:home" "abode:house" "sweets:candy" "abode:house"
"kid:child" "option:choice" "beautiful:pretty" "room:chamber" "beautiful:pretty" "option:choice"
"music:tunes" "bathroom:lavatory" "urban:city" "make:manufacture" "music:tunes" "make:manufacture"
"candy:sweets" "boat:ship" "seat:chair" "tedious:monotonous" "seat:chair" "candy:sweets"
"sleep:doze" "house:home" "bathroom:restroom" "make:manufacture" "house:home" "make:manufacture"
"careful:cautious" "abode:house" "sweets:candy" "beautiful:pretty" "sweets:candy" "abode:house"
"glass:cup" "spin:twirl" "tedious:monotonous" "large:big" "glass:cup" "spin:twirl"
"pants:trousers" "spectacles:glasses" "seat:chair" "clean:tidy" "seat:chair" "clean:tidy"
"dress:frock" "organization:club" "music:tunes" "cute:adorable" "music:tunes" "dress:frock"
"house:dwelling" "big:large" "pretty:beautiful" "raise:elevate" "big:large" "raise:elevate"
"couch:sofa" "stick:attach" "cellphone:mobile" "restroom:bathroom" "cellphone:mobile" "stick:attach"
"kid:child" "sofa:chair" "room:chamber" "teach:instruct" "sofa:chair" "kid:child"
"flammable:inflammable" "house:abode" "run:sprint" "old:mature" "house:abode" "run:sprint"
"candy:sweets" "option:choice" "urban:city" "boat:ship" "boat:ship" "option:choice"
"ugly:hideous" "dream:fantasize" "bathroom:lavatory" "glass:cup" "ugly:hideous" "dream:fantasize"
"sweets:candy" "run:sprint" "beautiful:pretty" "boat:ship" "sweets:candy" "run:sprint"
"tedious:monotonous" "large:big" "bathroom:restroom" "kid:child" "tedious:monotonous" "bathroom:restroom"
"make:manufacture" "careful:cautious" "urban:city" "old:mature" "old:mature" "make:manufacture"
"teach:instruct" "raise:elevate" "bathroom:lavatory" "seat:chair" "seat:chair" "raise:elevate"
"house:dwelling" "couch:sofa" "dress:frock" "restroom:bathroom" "restroom:bathroom" "dress:frock"
"candy:sweets" "dream:fantasize" "big:large" "spin:twirl" "big:large" "spin:twirl"
"stick:attach" "clean:tidy" "music:tunes" "cellphone:mobile" "music:tunes" "clean:tidy"
"sleep:doze" "ugly:hideous" "house:abode" "cute:adorable" "ugly:hideous" "sleep:doze"
"spectacles:glasses" "room:chamber" "flammable:inflammable" "organization:club" "spectacles:glasses" "room:chamber"
"option:choice" "pants:trousers" "pretty:beautiful" "house:home" "house:home" "option:choice"
"sofa:chair" "abode:house" "glass:cup" "raise:elevate" "sofa:chair" "raise:elevate"
