#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-5i.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-5i.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-5i.txt
#   Number of Unique Pairs:       44
#   Number of MaxDiff Questions:  110
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"fix:repaired" "sift:separated" "sell:price" "poison:die" "sell:price" "sift:separated"
"stab:wound" "sand:smooth" "lubricate:efficient" "dig:hole" "stab:wound" "lubricate:efficient"
"taint:poisoned" "iron:pressed" "heat:hot" "sun:hot" "iron:pressed" "sun:hot"
"sun:tan" "fast:car" "wash:clean" "ice:cold" "fast:car" "wash:clean"
"teach:educated" "envelop:surrounded" "mix:blend" "fire:hot" "teach:educated" "fire:hot"
"dismantle:destroyed" "star:bright" "eat:satisfaction" "burn:heat" "eat:satisfaction" "star:bright"
"car:fast" "flat:smash" "discrimination:separate" "glue:sticky" "flat:smash" "glue:sticky"
"beat:defeated" "poison:die" "sandpaper:smooth" "separated:sift" "separated:sift" "sandpaper:smooth"
"smash:flat" "sell:price" "flame:blister" "laughter:joke" "sell:price" "smash:flat"
"pollen:cough" "divide:parts" "fix:repaired" "fire:burnt" "pollen:cough" "fix:repaired"
"price:sell" "ask:answers" "exercise:fatigue" "crash:noise" "ask:answers" "price:sell"
"heat:warm" "sift:separated" "lies:untrustworthy" "joke:laughter" "lies:untrustworthy" "sift:separated"
"envelop:surrounded" "ask:answers" "lies:untrustworthy" "fast:car" "lies:untrustworthy" "envelop:surrounded"
"heat:hot" "car:fast" "exercise:fatigue" "sun:tan" "exercise:fatigue" "heat:hot"
"sand:smooth" "poison:die" "flat:smash" "sandpaper:smooth" "flat:smash" "sandpaper:smooth"
"fix:repaired" "burn:heat" "star:bright" "dig:hole" "dig:hole" "star:bright"
"taint:poisoned" "discrimination:separate" "crash:noise" "iron:pressed" "crash:noise" "taint:poisoned"
"wash:clean" "laughter:joke" "ice:cold" "divide:parts" "laughter:joke" "wash:clean"
"fire:hot" "joke:laughter" "dismantle:destroyed" "teach:educated" "joke:laughter" "fire:hot"
"sift:separated" "flame:blister" "smash:flat" "beat:defeated" "flame:blister" "beat:defeated"
"eat:satisfaction" "stab:wound" "price:sell" "pollen:cough" "stab:wound" "price:sell"
"lubricate:efficient" "sell:price" "mix:blend" "heat:warm" "sell:price" "lubricate:efficient"
"separated:sift" "glue:sticky" "fire:burnt" "sun:hot" "separated:sift" "sun:hot"
"divide:parts" "sand:smooth" "pollen:cough" "flame:blister" "pollen:cough" "sand:smooth"
"exercise:fatigue" "ask:answers" "beat:defeated" "ice:cold" "ask:answers" "beat:defeated"
"heat:hot" "lies:untrustworthy" "burn:heat" "flat:smash" "lies:untrustworthy" "heat:hot"
"poison:die" "laughter:joke" "discrimination:separate" "teach:educated" "poison:die" "laughter:joke"
"smash:flat" "crash:noise" "dismantle:destroyed" "joke:laughter" "joke:laughter" "dismantle:destroyed"
"sandpaper:smooth" "wash:clean" "dig:hole" "car:fast" "dig:hole" "sandpaper:smooth"
"fire:burnt" "fast:car" "iron:pressed" "lubricate:efficient" "fast:car" "lubricate:efficient"
"sun:tan" "fire:hot" "eat:satisfaction" "taint:poisoned" "eat:satisfaction" "taint:poisoned"
"sift:separated" "glue:sticky" "star:bright" "mix:blend" "mix:blend" "sift:separated"
"price:sell" "sell:price" "heat:warm" "separated:sift" "separated:sift" "heat:warm"
"sun:hot" "stab:wound" "fix:repaired" "envelop:surrounded" "stab:wound" "sun:hot"
"smash:flat" "crash:noise" "burn:heat" "heat:warm" "crash:noise" "smash:flat"
"sell:price" "fast:car" "fire:hot" "pollen:cough" "fast:car" "fire:hot"
"ice:cold" "dismantle:destroyed" "ask:answers" "sun:tan" "ask:answers" "dismantle:destroyed"
"separated:sift" "sun:hot" "glue:sticky" "car:fast" "separated:sift" "sun:hot"
"iron:pressed" "eat:satisfaction" "lies:untrustworthy" "envelop:surrounded" "lies:untrustworthy" "envelop:surrounded"
"sandpaper:smooth" "stab:wound" "laughter:joke" "exercise:fatigue" "stab:wound" "sandpaper:smooth"
"taint:poisoned" "wash:clean" "flame:blister" "price:sell" "price:sell" "taint:poisoned"
"divide:parts" "fire:burnt" "mix:blend" "sand:smooth" "fire:burnt" "sand:smooth"
"poison:die" "discrimination:separate" "lubricate:efficient" "heat:hot" "poison:die" "lubricate:efficient"
"star:bright" "joke:laughter" "teach:educated" "flat:smash" "flat:smash" "star:bright"
"beat:defeated" "dig:hole" "fix:repaired" "sift:separated" "dig:hole" "beat:defeated"
"beat:defeated" "poison:die" "pollen:cough" "star:bright" "poison:die" "beat:defeated"
"crash:noise" "envelop:surrounded" "sift:separated" "divide:parts" "crash:noise" "sift:separated"
"laughter:joke" "discrimination:separate" "fix:repaired" "lies:untrustworthy" "lies:untrustworthy" "fix:repaired"
"dismantle:destroyed" "iron:pressed" "heat:warm" "separated:sift" "separated:sift" "dismantle:destroyed"
"fire:burnt" "eat:satisfaction" "exercise:fatigue" "flame:blister" "eat:satisfaction" "fire:burnt"
"sun:tan" "teach:educated" "fast:car" "price:sell" "fast:car" "sun:tan"
"stab:wound" "sandpaper:smooth" "dig:hole" "lubricate:efficient" "stab:wound" "lubricate:efficient"
"heat:hot" "joke:laughter" "sun:hot" "sell:price" "joke:laughter" "sun:hot"
"sand:smooth" "taint:poisoned" "smash:flat" "flat:smash" "flat:smash" "taint:poisoned"
"car:fast" "mix:blend" "ice:cold" "wash:clean" "car:fast" "wash:clean"
"ask:answers" "glue:sticky" "burn:heat" "fire:hot" "ask:answers" "glue:sticky"
"wash:clean" "flame:blister" "lubricate:efficient" "smash:flat" "flame:blister" "lubricate:efficient"
"teach:educated" "ice:cold" "glue:sticky" "laughter:joke" "teach:educated" "glue:sticky"
"taint:poisoned" "mix:blend" "sand:smooth" "car:fast" "car:fast" "taint:poisoned"
"fire:burnt" "exercise:fatigue" "sandpaper:smooth" "heat:hot" "exercise:fatigue" "sandpaper:smooth"
"fix:repaired" "fast:car" "joke:laughter" "ask:answers" "ask:answers" "fix:repaired"
"price:sell" "flat:smash" "heat:warm" "fire:hot" "flat:smash" "fire:hot"
"pollen:cough" "sun:tan" "sun:hot" "star:bright" "pollen:cough" "sun:hot"
"eat:satisfaction" "sell:price" "crash:noise" "separated:sift" "separated:sift" "eat:satisfaction"
"poison:die" "envelop:surrounded" "dig:hole" "divide:parts" "poison:die" "envelop:surrounded"
"iron:pressed" "stab:wound" "burn:heat" "beat:defeated" "stab:wound" "beat:defeated"
"discrimination:separate" "lies:untrustworthy" "dismantle:destroyed" "sift:separated" "lies:untrustworthy" "sift:separated"
