#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-7a.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-7a.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-7a.txt
#   Number of Unique Pairs:       44
#   Number of MaxDiff Questions:  110
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"artist:art" "stove:meals" "composer:song" "novelist:books" "composer:song" "stove:meals"
"actress:script" "artist:paint" "designer:fashions" "blender:slush" "actress:script" "artist:paint"
"judge:laws" "wine:vintner" "camera:memories" "sculptor:sculpture" "wine:vintner" "camera:memories"
"milliner:hat" "florist:roses" "architect:drawings" "chef:ingredients" "chef:ingredients" "architect:drawings"
"burglar:heist" "butcher:meat" "athlete:body" "photographer:camera" "burglar:heist" "butcher:meat"
"architect:building" "vintner:wine" "florist:flowers" "slush:blender" "slush:blender" "architect:building"
"cloth:weaver" "teacher:assignment" "baker:bread" "writer:pen" "cloth:weaver" "baker:bread"
"poet:words" "teacher:chalkboard" "student:essay" "spinner:yarn" "student:essay" "teacher:chalkboard"
"chef:oven" "programmer:code" "mechanic:wrench" "artist:masterpiece" "programmer:code" "mechanic:wrench"
"weaver:cloth" "toddler:crayon" "fashions:designer" "writer:story" "fashions:designer" "toddler:crayon"
"teacher:books" "musician:instrument" "blacksmith:iron" "art:artist" "musician:instrument" "teacher:books"
"novelist:books" "slush:blender" "architect:drawings" "baker:bread" "slush:blender" "baker:bread"
"student:essay" "camera:memories" "florist:roses" "blacksmith:iron" "student:essay" "florist:roses"
"butcher:meat" "mechanic:wrench" "athlete:body" "teacher:chalkboard" "athlete:body" "mechanic:wrench"
"chef:oven" "programmer:code" "artist:paint" "artist:masterpiece" "programmer:code" "artist:paint"
"sculptor:sculpture" "poet:words" "teacher:books" "vintner:wine" "sculptor:sculpture" "vintner:wine"
"designer:fashions" "blender:slush" "chef:ingredients" "cloth:weaver" "cloth:weaver" "designer:fashions"
"artist:art" "weaver:cloth" "toddler:crayon" "teacher:assignment" "weaver:cloth" "teacher:assignment"
"spinner:yarn" "judge:laws" "musician:instrument" "stove:meals" "musician:instrument" "stove:meals"
"writer:story" "florist:flowers" "milliner:hat" "actress:script" "actress:script" "florist:flowers"
"burglar:heist" "art:artist" "architect:building" "writer:pen" "burglar:heist" "architect:building"
"composer:song" "fashions:designer" "wine:vintner" "photographer:camera" "fashions:designer" "photographer:camera"
"butcher:meat" "art:artist" "toddler:crayon" "cloth:weaver" "art:artist" "butcher:meat"
"teacher:books" "architect:building" "milliner:hat" "weaver:cloth" "weaver:cloth" "architect:building"
"novelist:books" "athlete:body" "teacher:assignment" "student:essay" "student:essay" "teacher:assignment"
"programmer:code" "chef:ingredients" "sculptor:sculpture" "judge:laws" "programmer:code" "chef:ingredients"
"actress:script" "poet:words" "florist:roses" "architect:drawings" "actress:script" "architect:drawings"
"photographer:camera" "chef:oven" "writer:pen" "musician:instrument" "musician:instrument" "chef:oven"
"designer:fashions" "fashions:designer" "vintner:wine" "stove:meals" "fashions:designer" "stove:meals"
"mechanic:wrench" "teacher:chalkboard" "baker:bread" "writer:story" "writer:story" "baker:bread"
"blacksmith:iron" "slush:blender" "artist:paint" "wine:vintner" "wine:vintner" "artist:paint"
"florist:flowers" "camera:memories" "artist:masterpiece" "spinner:yarn" "artist:masterpiece" "florist:flowers"
"composer:song" "blender:slush" "artist:art" "burglar:heist" "composer:song" "blender:slush"
"sculptor:sculpture" "architect:building" "teacher:assignment" "baker:bread" "sculptor:sculpture" "baker:bread"
"art:artist" "florist:roses" "artist:paint" "mechanic:wrench" "art:artist" "mechanic:wrench"
"writer:pen" "vintner:wine" "photographer:camera" "judge:laws" "judge:laws" "vintner:wine"
"musician:instrument" "blacksmith:iron" "novelist:books" "toddler:crayon" "musician:instrument" "toddler:crayon"
"burglar:heist" "teacher:books" "stove:meals" "spinner:yarn" "burglar:heist" "stove:meals"
"florist:flowers" "athlete:body" "actress:script" "poet:words" "actress:script" "florist:flowers"
"artist:art" "composer:song" "slush:blender" "cloth:weaver" "composer:song" "artist:art"
"fashions:designer" "artist:masterpiece" "milliner:hat" "wine:vintner" "fashions:designer" "milliner:hat"
"butcher:meat" "designer:fashions" "weaver:cloth" "teacher:chalkboard" "weaver:cloth" "designer:fashions"
"chef:ingredients" "architect:drawings" "blender:slush" "programmer:code" "programmer:code" "architect:drawings"
"writer:story" "camera:memories" "chef:oven" "student:essay" "writer:story" "chef:oven"
"burglar:heist" "judge:laws" "artist:paint" "architect:building" "burglar:heist" "artist:paint"
"actress:script" "writer:story" "stove:meals" "student:essay" "actress:script" "stove:meals"
"chef:ingredients" "butcher:meat" "teacher:books" "weaver:cloth" "weaver:cloth" "butcher:meat"
"slush:blender" "artist:art" "vintner:wine" "blacksmith:iron" "slush:blender" "vintner:wine"
"toddler:crayon" "writer:pen" "programmer:code" "teacher:assignment" "programmer:code" "writer:pen"
"blender:slush" "composer:song" "poet:words" "novelist:books" "composer:song" "poet:words"
"architect:drawings" "musician:instrument" "fashions:designer" "art:artist" "fashions:designer" "architect:drawings"
"designer:fashions" "photographer:camera" "artist:masterpiece" "wine:vintner" "wine:vintner" "designer:fashions"
"mechanic:wrench" "florist:flowers" "cloth:weaver" "chef:oven" "cloth:weaver" "mechanic:wrench"
"florist:roses" "baker:bread" "spinner:yarn" "camera:memories" "spinner:yarn" "baker:bread"
"athlete:body" "sculptor:sculpture" "teacher:chalkboard" "milliner:hat" "athlete:body" "teacher:chalkboard"
"musician:instrument" "architect:building" "vintner:wine" "butcher:meat" "musician:instrument" "butcher:meat"
"cloth:weaver" "designer:fashions" "architect:drawings" "teacher:books" "cloth:weaver" "architect:drawings"
"mechanic:wrench" "writer:pen" "blender:slush" "novelist:books" "novelist:books" "mechanic:wrench"
"baker:bread" "actress:script" "artist:art" "burglar:heist" "actress:script" "baker:bread"
"judge:laws" "poet:words" "chef:oven" "milliner:hat" "judge:laws" "chef:oven"
"fashions:designer" "artist:paint" "writer:story" "slush:blender" "fashions:designer" "artist:paint"
"composer:song" "chef:ingredients" "sculptor:sculpture" "teacher:chalkboard" "composer:song" "teacher:chalkboard"
"spinner:yarn" "toddler:crayon" "artist:masterpiece" "programmer:code" "programmer:code" "toddler:crayon"
"photographer:camera" "florist:roses" "stove:meals" "athlete:body" "athlete:body" "stove:meals"
"art:artist" "florist:flowers" "teacher:assignment" "camera:memories" "art:artist" "florist:flowers"
"student:essay" "wine:vintner" "blacksmith:iron" "weaver:cloth" "wine:vintner" "blacksmith:iron"
"writer:pen" "slush:blender" "cloth:weaver" "florist:roses" "slush:blender" "florist:roses"
"camera:memories" "spinner:yarn" "fashions:designer" "judge:laws" "fashions:designer" "camera:memories"
"athlete:body" "musician:instrument" "programmer:code" "burglar:heist" "burglar:heist" "athlete:body"
"toddler:crayon" "architect:drawings" "blender:slush" "weaver:cloth" "weaver:cloth" "architect:drawings"
"artist:masterpiece" "baker:bread" "photographer:camera" "mechanic:wrench" "artist:masterpiece" "baker:bread"
"novelist:books" "stove:meals" "chef:ingredients" "composer:song" "composer:song" "stove:meals"
"wine:vintner" "artist:art" "sculptor:sculpture" "writer:story" "wine:vintner" "artist:art"
"poet:words" "teacher:assignment" "vintner:wine" "milliner:hat" "milliner:hat" "vintner:wine"
"blacksmith:iron" "chef:oven" "teacher:chalkboard" "actress:script" "actress:script" "teacher:chalkboard"
"student:essay" "butcher:meat" "florist:flowers" "designer:fashions" "student:essay" "designer:fashions"
"artist:paint" "teacher:books" "art:artist" "architect:building" "art:artist" "artist:paint"
"vintner:wine" "toddler:crayon" "teacher:books" "writer:pen" "teacher:books" "vintner:wine"
"programmer:code" "chef:oven" "fashions:designer" "cloth:weaver" "fashions:designer" "chef:oven"
"architect:building" "wine:vintner" "actress:script" "florist:roses" "actress:script" "architect:building"
"artist:art" "art:artist" "designer:fashions" "novelist:books" "art:artist" "designer:fashions"
"burglar:heist" "chef:ingredients" "mechanic:wrench" "poet:words" "burglar:heist" "mechanic:wrench"
"blacksmith:iron" "writer:story" "teacher:chalkboard" "stove:meals" "writer:story" "stove:meals"
"athlete:body" "photographer:camera" "blender:slush" "spinner:yarn" "athlete:body" "photographer:camera"
"composer:song" "butcher:meat" "musician:instrument" "camera:memories" "composer:song" "butcher:meat"
"teacher:assignment" "weaver:cloth" "milliner:hat" "student:essay" "weaver:cloth" "teacher:assignment"
"architect:drawings" "sculptor:sculpture" "florist:flowers" "baker:bread" "sculptor:sculpture" "baker:bread"
"artist:masterpiece" "artist:paint" "slush:blender" "judge:laws" "slush:blender" "artist:paint"
