#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-10a.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-10a.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-10a.txt
#   Number of Unique Pairs:       43
#   Number of MaxDiff Questions:  108
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"surgery:hospital" "rain:storm" "citation:violation" "smile:happiness" "surgery:hospital" "citation:violation"
"diploma:education" "yarmulke:piety" "bell:dinner" "anger:glare" "anger:glare" "diploma:education"
"license:permission" "cross:faith" "crown:sovereignty" "distrust:camera" "distrust:camera" "crown:sovereignty"
"buzzer:end" "red:stop" "doctor:diagnosis" "camera:distrust" "red:stop" "camera:distrust"
"shriek:panic" "crown:royalty" "yarmulke:piety" "diploma:education" "shriek:panic" "diploma:education"
"anger:glare" "yellow:caution" "smoke:fire" "compass:direction" "anger:glare" "yellow:caution"
"badge:authority" "distrust:camera" "license:permission" "help:cry" "distrust:camera" "badge:authority"
"pregnancy:baby" "thunder:lightning" "moisture:cloud" "thunder:storm" "thunder:storm" "thunder:lightning"
"cross:faith" "crown:sovereignty" "camera:distrust" "flag:nation" "flag:nation" "camera:distrust"
"smile:happiness" "surgery:hospital" "cloud:moisture" "crossbones:poison" "surgery:hospital" "smile:happiness"
"rain:storm" "glare:anger" "red:stop" "bell:dinner" "rain:storm" "glare:anger"
"handshake:agreement" "green:go" "buzzer:end" "wrinkle:age" "buzzer:end" "handshake:agreement"
"citation:violation" "sign:direction" "valentine:love" "engagement:wedding" "engagement:wedding" "citation:violation"
"love:valentine" "flashing:caution" "alarm:action" "warning:trouble" "love:valentine" "flashing:caution"
"doctor:diagnosis" "cry:help" "cross:christianity" "crown:sovereignty" "doctor:diagnosis" "crown:sovereignty"
"crown:royalty" "rain:storm" "diploma:education" "thunder:lightning" "rain:storm" "diploma:education"
"sign:direction" "cross:faith" "help:cry" "love:valentine" "love:valentine" "cross:faith"
"wrinkle:age" "distrust:camera" "yarmulke:piety" "yellow:caution" "distrust:camera" "yellow:caution"
"doctor:diagnosis" "alarm:action" "smile:happiness" "cloud:moisture" "doctor:diagnosis" "smile:happiness"
"green:go" "handshake:agreement" "flag:nation" "surgery:hospital" "surgery:hospital" "handshake:agreement"
"anger:glare" "compass:direction" "engagement:wedding" "shriek:panic" "anger:glare" "compass:direction"
"smoke:fire" "cross:christianity" "crossbones:poison" "citation:violation" "smoke:fire" "citation:violation"
"pregnancy:baby" "flashing:caution" "thunder:storm" "warning:trouble" "thunder:storm" "flashing:caution"
"moisture:cloud" "red:stop" "glare:anger" "valentine:love" "moisture:cloud" "valentine:love"
"cry:help" "bell:dinner" "license:permission" "badge:authority" "cry:help" "badge:authority"
"camera:distrust" "buzzer:end" "license:permission" "citation:violation" "buzzer:end" "camera:distrust"
"distrust:camera" "alarm:action" "badge:authority" "compass:direction" "distrust:camera" "badge:authority"
"surgery:hospital" "glare:anger" "pregnancy:baby" "camera:distrust" "surgery:hospital" "camera:distrust"
"love:valentine" "rain:storm" "cross:christianity" "yellow:caution" "love:valentine" "yellow:caution"
"flag:nation" "bell:dinner" "smoke:fire" "warning:trouble" "flag:nation" "warning:trouble"
"wrinkle:age" "cloud:moisture" "red:stop" "moisture:cloud" "moisture:cloud" "wrinkle:age"
"doctor:diagnosis" "buzzer:end" "thunder:storm" "crossbones:poison" "thunder:storm" "crossbones:poison"
"sign:direction" "diploma:education" "handshake:agreement" "help:cry" "help:cry" "handshake:agreement"
"thunder:lightning" "cry:help" "yarmulke:piety" "shriek:panic" "thunder:lightning" "yarmulke:piety"
"smile:happiness" "cross:faith" "flashing:caution" "anger:glare" "anger:glare" "flashing:caution"
"engagement:wedding" "valentine:love" "crown:royalty" "crown:sovereignty" "engagement:wedding" "crown:sovereignty"
"green:go" "alarm:action" "rain:storm" "license:permission" "rain:storm" "license:permission"
"smoke:fire" "help:cry" "cry:help" "thunder:storm" "thunder:storm" "cry:help"
"wrinkle:age" "red:stop" "cloud:moisture" "crown:sovereignty" "red:stop" "crown:sovereignty"
"badge:authority" "yellow:caution" "doctor:diagnosis" "buzzer:end" "buzzer:end" "badge:authority"
"yarmulke:piety" "crossbones:poison" "cross:faith" "engagement:wedding" "engagement:wedding" "yarmulke:piety"
"cross:christianity" "pregnancy:baby" "sign:direction" "love:valentine" "love:valentine" "cross:christianity"
"diploma:education" "camera:distrust" "anger:glare" "surgery:hospital" "anger:glare" "camera:distrust"
"crown:royalty" "flashing:caution" "moisture:cloud" "green:go" "moisture:cloud" "flashing:caution"
"valentine:love" "warning:trouble" "handshake:agreement" "smile:happiness" "valentine:love" "warning:trouble"
"bell:dinner" "shriek:panic" "citation:violation" "compass:direction" "shriek:panic" "citation:violation"
"thunder:lightning" "flag:nation" "glare:anger" "distrust:camera" "distrust:camera" "glare:anger"
"yellow:caution" "sign:direction" "crossbones:poison" "thunder:lightning" "sign:direction" "yellow:caution"
"bell:dinner" "alarm:action" "rain:storm" "citation:violation" "rain:storm" "citation:violation"
"help:cry" "cloud:moisture" "green:go" "compass:direction" "help:cry" "compass:direction"
"flashing:caution" "crown:sovereignty" "pregnancy:baby" "distrust:camera" "distrust:camera" "crown:sovereignty"
"anger:glare" "surgery:hospital" "red:stop" "warning:trouble" "anger:glare" "warning:trouble"
"handshake:agreement" "thunder:storm" "buzzer:end" "cross:christianity" "thunder:storm" "handshake:agreement"
"cry:help" "badge:authority" "flag:nation" "diploma:education" "flag:nation" "badge:authority"
"engagement:wedding" "moisture:cloud" "glare:anger" "license:permission" "moisture:cloud" "license:permission"
"smoke:fire" "cross:faith" "love:valentine" "doctor:diagnosis" "love:valentine" "cross:faith"
"smile:happiness" "camera:distrust" "wrinkle:age" "shriek:panic" "shriek:panic" "camera:distrust"
"crown:royalty" "valentine:love" "yarmulke:piety" "thunder:storm" "thunder:storm" "valentine:love"
"cross:faith" "green:go" "sign:direction" "thunder:lightning" "sign:direction" "cross:faith"
"yellow:caution" "citation:violation" "cross:christianity" "valentine:love" "cross:christianity" "citation:violation"
"anger:glare" "handshake:agreement" "cloud:moisture" "badge:authority" "anger:glare" "badge:authority"
"pregnancy:baby" "diploma:education" "warning:trouble" "help:cry" "pregnancy:baby" "warning:trouble"
"bell:dinner" "surgery:hospital" "flashing:caution" "doctor:diagnosis" "surgery:hospital" "flashing:caution"
"love:valentine" "smile:happiness" "distrust:camera" "moisture:cloud" "distrust:camera" "smile:happiness"
"smoke:fire" "compass:direction" "crown:sovereignty" "shriek:panic" "smoke:fire" "crown:sovereignty"
"alarm:action" "rain:storm" "crossbones:poison" "yarmulke:piety" "rain:storm" "yarmulke:piety"
"wrinkle:age" "license:permission" "red:stop" "flag:nation" "flag:nation" "license:permission"
"glare:anger" "cry:help" "camera:distrust" "crown:royalty" "cry:help" "camera:distrust"
"engagement:wedding" "buzzer:end" "flag:nation" "handshake:agreement" "engagement:wedding" "handshake:agreement"
