#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-5d.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-5d.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-5d.txt
#   Number of Unique Pairs:       44
#   Number of MaxDiff Questions:  110
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"mad:anger" "ecstatic:joyful" "magnanimous:peace" "grieving:mourning" "ecstatic:joyful" "mad:anger"
"cold:frigid" "tired:exhaustion" "lethargic:fatigue" "brittle:bones" "cold:frigid" "lethargic:fatigue"
"sad:depression" "frigid:cold" "determined:certainty" "angry:furious" "angry:furious" "determined:certainty"
"ignorant:bliss" "sad:depressed" "messy:disarray" "lazy:indolence" "sad:depressed" "messy:disarray"
"ignorant:bliss" "drunk:intoxication" "fastidious:perturbation" "determined:certainty" "fastidious:perturbation" "drunk:intoxication"
"pensive:thought" "shaking:fear" "tired:exhaustion" "contentment:happy" "contentment:happy" "tired:exhaustion"
"anger:yelling" "mad:anger" "yelling:anger" "habitual:routine" "anger:yelling" "habitual:routine"
"ecstatic:joyful" "curious:investigation" "frigid:cold" "laughing:amusement" "ecstatic:joyful" "curious:investigation"
"happy:contentment" "thoughtful:contemplation" "crying:sadness" "starving:hunger" "starving:hunger" "thoughtful:contemplation"
"brittle:bones" "pedantic:reading" "sad:depressed" "illogical:confusion" "pedantic:reading" "illogical:confusion"
"cramps:aching" "magnanimous:peace" "peace:magnanimous" "sad:depression" "cramps:aching" "sad:depression"
"incompetent:disaster" "lethargic:fatigue" "lovable:attitude" "angry:furious" "angry:furious" "lethargic:fatigue"
"giddy:happiness" "joyful:ecstatic" "cold:frigid" "emotional:turmoil" "cold:frigid" "giddy:happiness"
"messy:disarray" "angry:belligerence" "parched:thirstiness" "nutritious:vegetables" "parched:thirstiness" "messy:disarray"
"provocative:controversy" "morose:sadness" "lazy:indolence" "grieving:mourning" "grieving:mourning" "provocative:controversy"
"incompetent:disaster" "curious:investigation" "angry:belligerence" "cold:frigid" "angry:belligerence" "curious:investigation"
"grieving:mourning" "lovable:attitude" "contentment:happy" "ecstatic:joyful" "ecstatic:joyful" "lovable:attitude"
"habitual:routine" "morose:sadness" "mad:anger" "lazy:indolence" "mad:anger" "habitual:routine"
"happy:contentment" "sad:depressed" "angry:furious" "joyful:ecstatic" "angry:furious" "joyful:ecstatic"
"emotional:turmoil" "starving:hunger" "lethargic:fatigue" "parched:thirstiness" "parched:thirstiness" "lethargic:fatigue"
"determined:certainty" "laughing:amusement" "tired:exhaustion" "pedantic:reading" "pedantic:reading" "laughing:amusement"
"messy:disarray" "thoughtful:contemplation" "provocative:controversy" "crying:sadness" "crying:sadness" "provocative:controversy"
"ignorant:bliss" "shaking:fear" "frigid:cold" "peace:magnanimous" "peace:magnanimous" "ignorant:bliss"
"brittle:bones" "illogical:confusion" "anger:yelling" "drunk:intoxication" "anger:yelling" "illogical:confusion"
"cramps:aching" "pensive:thought" "fastidious:perturbation" "magnanimous:peace" "cramps:aching" "magnanimous:peace"
"nutritious:vegetables" "sad:depression" "giddy:happiness" "yelling:anger" "sad:depression" "giddy:happiness"
"angry:belligerence" "sad:depression" "frigid:cold" "contentment:happy" "angry:belligerence" "sad:depression"
"shaking:fear" "pensive:thought" "starving:hunger" "joyful:ecstatic" "starving:hunger" "joyful:ecstatic"
"crying:sadness" "grieving:mourning" "parched:thirstiness" "ignorant:bliss" "parched:thirstiness" "ignorant:bliss"
"emotional:turmoil" "laughing:amusement" "brittle:bones" "sad:depressed" "sad:depressed" "laughing:amusement"
"magnanimous:peace" "lovable:attitude" "ecstatic:joyful" "messy:disarray" "ecstatic:joyful" "messy:disarray"
"lethargic:fatigue" "habitual:routine" "provocative:controversy" "determined:certainty" "determined:certainty" "lethargic:fatigue"
"thoughtful:contemplation" "fastidious:perturbation" "illogical:confusion" "morose:sadness" "fastidious:perturbation" "illogical:confusion"
"incompetent:disaster" "giddy:happiness" "happy:contentment" "drunk:intoxication" "happy:contentment" "giddy:happiness"
"angry:furious" "yelling:anger" "anger:yelling" "peace:magnanimous" "angry:furious" "yelling:anger"
"mad:anger" "nutritious:vegetables" "tired:exhaustion" "curious:investigation" "tired:exhaustion" "curious:investigation"
"lazy:indolence" "pedantic:reading" "cold:frigid" "cramps:aching" "cramps:aching" "lazy:indolence"
"crying:sadness" "emotional:turmoil" "habitual:routine" "lethargic:fatigue" "emotional:turmoil" "lethargic:fatigue"
"joyful:ecstatic" "cold:frigid" "morose:sadness" "frigid:cold" "frigid:cold" "morose:sadness"
"lazy:indolence" "sad:depressed" "starving:hunger" "illogical:confusion" "starving:hunger" "illogical:confusion"
"giddy:happiness" "sad:depression" "drunk:intoxication" "ecstatic:joyful" "ecstatic:joyful" "giddy:happiness"
"tired:exhaustion" "parched:thirstiness" "brittle:bones" "lovable:attitude" "parched:thirstiness" "tired:exhaustion"
"determined:certainty" "curious:investigation" "thoughtful:contemplation" "yelling:anger" "determined:certainty" "thoughtful:contemplation"
"ignorant:bliss" "laughing:amusement" "messy:disarray" "pensive:thought" "pensive:thought" "messy:disarray"
"pedantic:reading" "shaking:fear" "angry:belligerence" "happy:contentment" "angry:belligerence" "happy:contentment"
"provocative:controversy" "nutritious:vegetables" "fastidious:perturbation" "magnanimous:peace" "fastidious:perturbation" "provocative:controversy"
"peace:magnanimous" "mad:anger" "incompetent:disaster" "grieving:mourning" "peace:magnanimous" "incompetent:disaster"
"cramps:aching" "anger:yelling" "contentment:happy" "angry:furious" "angry:furious" "contentment:happy"
"cramps:aching" "determined:certainty" "tired:exhaustion" "ecstatic:joyful" "cramps:aching" "determined:certainty"
"parched:thirstiness" "shaking:fear" "illogical:confusion" "giddy:happiness" "parched:thirstiness" "illogical:confusion"
"ignorant:bliss" "starving:hunger" "frigid:cold" "mad:anger" "starving:hunger" "ignorant:bliss"
"sad:depression" "angry:furious" "peace:magnanimous" "morose:sadness" "angry:furious" "morose:sadness"
"contentment:happy" "lovable:attitude" "pensive:thought" "drunk:intoxication" "contentment:happy" "drunk:intoxication"
"anger:yelling" "curious:investigation" "provocative:controversy" "lazy:indolence" "anger:yelling" "provocative:controversy"
"grieving:mourning" "fastidious:perturbation" "yelling:anger" "lethargic:fatigue" "fastidious:perturbation" "lethargic:fatigue"
"crying:sadness" "sad:depressed" "messy:disarray" "angry:belligerence" "angry:belligerence" "messy:disarray"
"nutritious:vegetables" "pedantic:reading" "brittle:bones" "joyful:ecstatic" "pedantic:reading" "nutritious:vegetables"
"emotional:turmoil" "thoughtful:contemplation" "cold:frigid" "laughing:amusement" "cold:frigid" "thoughtful:contemplation"
"incompetent:disaster" "habitual:routine" "happy:contentment" "magnanimous:peace" "happy:contentment" "habitual:routine"
"sad:depressed" "fastidious:perturbation" "morose:sadness" "cold:frigid" "fastidious:perturbation" "morose:sadness"
"lethargic:fatigue" "thoughtful:contemplation" "incompetent:disaster" "drunk:intoxication" "incompetent:disaster" "lethargic:fatigue"
"lovable:attitude" "messy:disarray" "mad:anger" "emotional:turmoil" "emotional:turmoil" "messy:disarray"
"anger:yelling" "contentment:happy" "illogical:confusion" "cramps:aching" "anger:yelling" "illogical:confusion"
"tired:exhaustion" "starving:hunger" "nutritious:vegetables" "ecstatic:joyful" "starving:hunger" "nutritious:vegetables"
"curious:investigation" "happy:contentment" "magnanimous:peace" "determined:certainty" "happy:contentment" "curious:investigation"
"pedantic:reading" "frigid:cold" "sad:depression" "lazy:indolence" "pedantic:reading" "lazy:indolence"
"joyful:ecstatic" "angry:belligerence" "provocative:controversy" "brittle:bones" "angry:belligerence" "provocative:controversy"
"habitual:routine" "ignorant:bliss" "parched:thirstiness" "yelling:anger" "parched:thirstiness" "habitual:routine"
"grieving:mourning" "shaking:fear" "peace:magnanimous" "laughing:amusement" "peace:magnanimous" "laughing:amusement"
"crying:sadness" "angry:furious" "pensive:thought" "giddy:happiness" "angry:furious" "giddy:happiness"
"shaking:fear" "brittle:bones" "determined:certainty" "anger:yelling" "anger:yelling" "determined:certainty"
"morose:sadness" "ignorant:bliss" "nutritious:vegetables" "mad:anger" "nutritious:vegetables" "morose:sadness"
"magnanimous:peace" "frigid:cold" "tired:exhaustion" "lethargic:fatigue" "frigid:cold" "lethargic:fatigue"
"parched:thirstiness" "cold:frigid" "sad:depressed" "ecstatic:joyful" "parched:thirstiness" "cold:frigid"
"angry:belligerence" "starving:hunger" "laughing:amusement" "thoughtful:contemplation" "angry:belligerence" "thoughtful:contemplation"
"messy:disarray" "cramps:aching" "yelling:anger" "pensive:thought" "cramps:aching" "messy:disarray"
"habitual:routine" "lazy:indolence" "provocative:controversy" "angry:furious" "angry:furious" "provocative:controversy"
"lovable:attitude" "pedantic:reading" "peace:magnanimous" "illogical:confusion" "pedantic:reading" "illogical:confusion"
"contentment:happy" "incompetent:disaster" "joyful:ecstatic" "giddy:happiness" "contentment:happy" "giddy:happiness"
"sad:depression" "grieving:mourning" "curious:investigation" "crying:sadness" "sad:depression" "curious:investigation"
"happy:contentment" "drunk:intoxication" "emotional:turmoil" "fastidious:perturbation" "fastidious:perturbation" "drunk:intoxication"
