#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-2c.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-2c.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-2c.txt
#   Number of Unique Pairs:       43
#   Number of MaxDiff Questions:  108
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"instant:nanosecond" "pizza:slice" "body:cell" "foot:inch" "body:cell" "pizza:slice"
"cake:slice" "chapter:page" "chain:link" "forest:tree" "forest:tree" "cake:slice"
"book:pages" "pie:slices" "gallon:ounce" "cell:body" "gallon:ounce" "cell:body"
"seconds:hour" "state:county" "thread:snip" "country:city" "thread:snip" "state:county"
"air:puff" "book:chapter" "scene:movie" "book:chapters" "scene:movie" "air:puff"
"school:student" "blood:droplets" "poem:verses" "song:notes" "poem:verses" "school:student"
"day:week" "hour:seconds" "page:paragraph" "symphony:movements" "page:paragraph" "hour:seconds"
"quilt:squares" "hive:bee" "quarter:pennies" "state:county" "quilt:squares" "quarter:pennies"
"gallon:ounce" "pizza:slice" "cloth:fibers" "gallon:quart" "gallon:ounce" "pizza:slice"
"book:pages" "day:week" "pound:ounce" "body:cell" "body:cell" "day:week"
"quilt:squares" "chain:link" "foot:inch" "hive:bee" "quilt:squares" "foot:inch"
"cell:body" "train:car" "feet:inches" "air:puff" "train:car" "air:puff"
"forest:tree" "book:chapter" "scene:movie" "instant:nanosecond" "scene:movie" "book:chapter"
"quarter:pennies" "symphony:movements" "thread:snip" "earthworm:segment" "thread:snip" "earthworm:segment"
"song:notes" "page:paragraph" "soup:spoonful" "movie:scene" "song:notes" "soup:spoonful"
"book:page" "school:student" "hour:seconds" "poem:verses" "poem:verses" "school:student"
"dollar:coins" "country:city" "week:day" "blood:droplets" "week:day" "blood:droplets"
"cake:slice" "seconds:hour" "chapter:page" "droplets:blood" "droplets:blood" "cake:slice"
"book:chapters" "pie:slices" "hive:bee" "blood:droplets" "hive:bee" "blood:droplets"
"week:day" "book:pages" "cake:slice" "country:city" "week:day" "cake:slice"
"hour:seconds" "quilt:squares" "pizza:slice" "quarter:pennies" "quilt:squares" "pizza:slice"
"body:cell" "gallon:quart" "scene:movie" "droplets:blood" "droplets:blood" "gallon:quart"
"book:chapters" "dollar:coins" "book:chapter" "school:student" "book:chapters" "school:student"
"song:notes" "earthworm:segment" "cloth:fibers" "thread:snip" "thread:snip" "earthworm:segment"
"air:puff" "state:county" "day:week" "page:paragraph" "state:county" "air:puff"
"symphony:movements" "movie:scene" "feet:inches" "cell:body" "feet:inches" "cell:body"
"chapter:page" "chain:link" "foot:inch" "book:page" "book:page" "foot:inch"
"seconds:hour" "forest:tree" "instant:nanosecond" "soup:spoonful" "seconds:hour" "soup:spoonful"
"poem:verses" "pound:ounce" "train:car" "gallon:ounce" "train:car" "pound:ounce"
"pie:slices" "feet:inches" "dollar:coins" "quarter:pennies" "feet:inches" "dollar:coins"
"soup:spoonful" "book:pages" "cake:slice" "scene:movie" "scene:movie" "cake:slice"
"gallon:ounce" "droplets:blood" "country:city" "foot:inch" "droplets:blood" "foot:inch"
"pizza:slice" "instant:nanosecond" "book:chapters" "cell:body" "book:chapters" "pizza:slice"
"week:day" "book:page" "quilt:squares" "forest:tree" "quilt:squares" "book:page"
"chapter:page" "train:car" "hour:seconds" "book:chapter" "train:car" "hour:seconds"
"thread:snip" "gallon:quart" "song:notes" "day:week" "thread:snip" "gallon:quart"
"cloth:fibers" "page:paragraph" "chain:link" "body:cell" "body:cell" "cloth:fibers"
"hive:bee" "blood:droplets" "earthworm:segment" "state:county" "hive:bee" "blood:droplets"
"seconds:hour" "school:student" "pound:ounce" "symphony:movements" "seconds:hour" "school:student"
"poem:verses" "movie:scene" "air:puff" "pie:slices" "poem:verses" "air:puff"
"blood:droplets" "chain:link" "soup:spoonful" "book:chapter" "book:chapter" "blood:droplets"
"feet:inches" "book:pages" "earthworm:segment" "song:notes" "feet:inches" "earthworm:segment"
"cell:body" "symphony:movements" "forest:tree" "quilt:squares" "quilt:squares" "cell:body"
"state:county" "poem:verses" "school:student" "droplets:blood" "droplets:blood" "school:student"
"body:cell" "week:day" "gallon:quart" "seconds:hour" "body:cell" "gallon:quart"
"train:car" "book:chapters" "chapter:page" "page:paragraph" "train:car" "page:paragraph"
"pound:ounce" "day:week" "book:page" "hour:seconds" "book:page" "hour:seconds"
"pie:slices" "movie:scene" "gallon:ounce" "foot:inch" "gallon:ounce" "movie:scene"
"air:puff" "country:city" "cloth:fibers" "cake:slice" "country:city" "air:puff"
"thread:snip" "dollar:coins" "quarter:pennies" "instant:nanosecond" "thread:snip" "dollar:coins"
"hive:bee" "pizza:slice" "scene:movie" "feet:inches" "hive:bee" "pizza:slice"
"song:notes" "country:city" "earthworm:segment" "instant:nanosecond" "instant:nanosecond" "earthworm:segment"
"air:puff" "school:student" "scene:movie" "thread:snip" "thread:snip" "air:puff"
"train:car" "quarter:pennies" "symphony:movements" "week:day" "train:car" "symphony:movements"
"gallon:ounce" "seconds:hour" "movie:scene" "hive:bee" "hive:bee" "movie:scene"
"blood:droplets" "body:cell" "book:pages" "droplets:blood" "droplets:blood" "blood:droplets"
"soup:spoonful" "cell:body" "day:week" "quilt:squares" "quilt:squares" "cell:body"
"gallon:quart" "book:chapter" "book:page" "state:county" "book:chapter" "gallon:quart"
"forest:tree" "chapter:page" "page:paragraph" "cloth:fibers" "forest:tree" "cloth:fibers"
"pie:slices" "poem:verses" "book:chapters" "hour:seconds" "book:chapters" "hour:seconds"
"dollar:coins" "chain:link" "pizza:slice" "pound:ounce" "chain:link" "pizza:slice"
"foot:inch" "cake:slice" "pound:ounce" "day:week" "foot:inch" "cake:slice"
